Date,Open,High,Low,Close
27 November 2015,"?25,188","?25,394","?25,163","?25,262"
28 November 2015,"?25,224","?25,260","?25,058","?25,229"
29 November 2015,"?25,322","?25,710","?25,303","?25,689"
30 November 2015,"?25,683","?25,810","?25,614","?25,773"
01 December 2015,"?25,549","?25,762","?25,409","?25,597"
02 December 2015,"?25,685","?25,827","?25,620","?25,790"
03 December 2015,"?25,740","?25,744","?25,400","?25,490"
04 December 2015,"?25,529","?25,688","?25,352","?25,653"
05 December 2015,"?25,756","?25,927","?25,734","?25,774"
06 December 2015,"?25,671","?25,747","?25,503","?25,705"
07 December 2015,"?25,714","?25,715","?25,352","?25,400"
08 December 2015,"?25,428","?25,506","?25,252","?25,302"
09 December 2015,"?25,448","?25,519","?25,208","?25,230"
10 December 2015,"?25,257","?25,340","?25,181","?25,305"
11 December 2015,"?25,432","?25,898","?25,431","?25,881"
12 December 2015,"?26,008","?26,399","?25,942","?26,367"
13 December 2015,"?26,416","?26,677","?26,405","?26,654"
14 December 2015,"?26,695","?26,795","?26,623","?26,726"
15 December 2015,"?26,818","?26,837","?26,562","?26,668"
16 December 2015,"?26,684","?26,857","?26,672","?26,714"
17 December 2015,"?26,694","?26,885","?26,641","?26,843"
18 December 2015,"?26,919","?27,008","?26,792","?26,843"
19 December 2015,"?26,898","?26,901","?26,730","?26,777"
20 December 2015,"?26,834","?27,083","?26,830","?27,010"
21 December 2015,"?27,085","?27,105","?26,974","?27,021"
22 December 2015,"?26,994","?26,995","?26,692","?26,763"
23 December 2015,"?26,742","?26,972","?26,621","?26,636"
24 December 2015,"?26,468","?26,468","?26,262","?26,397"
25 December 2015,"?26,483","?26,485","?26,265","?26,396"
26 December 2015,"?26,501","?26,753","?26,447","?26,726"
27 December 2015,"?26,686","?26,686","?26,315","?26,525"
28 December 2015,"?26,654","?26,731","?26,539","?26,626"
29 December 2015,"?26,497","?26,885","?26,448","?26,867"
30 December 2015,"?26,907","?26,926","?26,755","?26,813"
31 December 2015,"?26,792","?26,887","?26,617","?26,766"
01 January 2016,"?26,753","?27,061","?26,737","?27,002"
02 January 2016,"?26,367","?26,436","?25,911","?26,398"
03 January 2016,"?26,348","?26,494","?26,263","?26,403"
04 January 2016,"?26,411","?26,583","?26,378","?26,525"
05 January 2016,"?26,627","?26,776","?26,606","?26,740"
06 January 2016,"?26,926","?27,069","?26,873","?27,000"
07 January 2016,"?27,064","?27,243","?27,061","?27,145"
08 January 2016,"?27,314","?27,386","?27,251","?27,279"
09 January 2016,"?27,341","?27,349","?27,127","?27,167"
10 January 2016,"?27,210","?27,288","?27,147","?27,201"
11 January 2016,"?27,292","?27,295","?27,034","?27,127"
12 January 2016,"?27,358","?27,647","?27,358","?27,627"
13 January 2016,"?27,668","?27,829","?27,668","?27,808"
14 January 2016,"?27,912","?27,929","?27,752","?27,815"
15 January 2016,"?27,858","?27,968","?27,763","?27,942"
16 January 2016,"?27,966","?28,049","?27,736","?27,837"
17 January 2016,"?27,921","?28,014","?27,698","?27,747"
18 January 2016,"?27,790","?27,827","?27,638","?27,788"
19 January 2016,"?27,776","?27,935","?27,760","?27,916"
20 January 2016,"?27,980","?27,989","?27,688","?27,711"
21 January 2016,"?27,722","?27,832","?27,646","?27,803"
22 January 2016,"?27,754","?28,110","?27,737","?28,095"
23 January 2016,"?28,121","?28,150","?27,927","?27,977"
24 January 2016,"?27,976","?28,211","?27,900","?28,024"
25 January 2016,"?28,109","?28,240","?28,065","?28,209"
26 January 2016,"?28,233","?28,233","?28,038","?28,052"
27 January 2016,"?28,083","?28,285","?27,874","?28,003"
28 January 2016,"?28,069","?28,175","?27,944","?27,982"
29 January 2016,"?28,009","?28,015","?27,647","?27,698"
30 January 2016,"?27,900","?27,922","?27,628","?27,714"
31 January 2016,"?27,811","?28,110","?27,796","?28,078"
01 February 2016,"?28,182","?28,226","?28,128","?28,183"
02 February 2016,"?28,289","?28,290","?27,957","?28,085"
03 February 2016,"?28,133","?28,143","?27,737","?27,775"
04 February 2016,"?27,806","?27,902","?27,697","?27,860"
